ensemble_size,num_epochs,batch_size,lr,model_type,train_loss,val_loss,train_acc,val_acc
4,15,256,0.002,batchensemble,"[6.086917699599753, 2.2325300556056353, 1.7916339824394303, 1.6221762220470273, 1.5225907582409528, 1.4394347308849802, 1.3837782454733947, 1.3224972285786454, 1.2881735247008654, 1.2411964937132232, 1.205515329326902, 1.1770427956873057, 1.1387382961657582, 1.1144607894274654, 1.091187909245491]","[2.0038186103105544, 1.550523728132248, 1.4601131856441498, 1.3890954494476317, 1.3643162697553635, 1.2975258231163025, 1.2327123284339905, 1.202406969666481, 1.1947758316993713, 1.1358159184455872, 1.1173641711473465, 1.1013307616114616, 1.0979879453778267, 1.073179443180561, 1.0383618101477623]","[25.393, 34.493, 40.0615, 43.749, 46.6105, 49.242, 51.3245, 53.361, 54.7295, 56.348, 57.62, 58.7565, 60.071, 61.0025, 61.7615]","[38.61, 44.66, 47.47, 50.02, 50.25, 53.36, 56.52, 57.37, 57.31, 59.99, 60.44, 61.04, 61.71, 62.5, 63.64]"
4,15,256,0.002,batchensemble_complex,"[4.002197310632589, 2.608451523342911, 2.1755043176972135, 2.024818077987554, 1.996408972204948, 1.7163321412339503, 1.4551134170318136, 1.2468866523431272, 1.036864016129046, 0.906919497616437, 0.7920735165172693, 0.6977406700654906, 0.6349456339162223, 0.562874967346386, 0.4842424862542931]","[2.832300788164139, 2.3420229971408846, 2.4709437608718874, 1.972597950696945, 1.7514998257160186, 1.460994827747345, 1.2535159438848495, 1.051851812005043, 0.916665168106556, 0.9231693744659424, 0.9718977645039558, 0.7053554594516754, 0.7073389038443565, 0.6392154201865197, 0.5850365400314331]","[12.306, 12.8295, 18.744, 22.57, 25.235, 34.8985, 46.094, 55.363, 63.1055, 67.8805, 72.25, 75.679, 78.1295, 80.6335, 83.44]","[12.56, 12.61, 21.84, 23.2, 34.8, 45.57, 54.21, 62.33, 67.07, 66.55, 67.77, 75.28, 76.14, 78.08, 80.33]"
4,15,256,0.002,batchensemble,"[5.964023961096394, 2.172375907703322, 1.6941418106458626, 1.529559066709207, 1.4368039698016888, 1.3653449221533172, 1.3088427179930162, 1.2479882495743888, 1.2061304249325577, 1.166452627705068, 1.136351763289802, 1.1090326701499977, 1.0748376155994377, 1.0553329094332091, 1.0321711061560377]","[2.129444471001625, 1.5183994352817536, 1.3838861390948296, 1.3623342394828797, 1.2691029161214828, 1.237640918791294, 1.1997356861829758, 1.171429131925106, 1.136465598642826, 1.0998931914567946, 1.0572293281555176, 1.0544120743870735, 1.0398902013897895, 1.0250492483377456, 1.0222441256046295]","[28.502, 37.0795, 42.39, 46.4995, 49.5795, 52.079, 53.9305, 56.169, 57.6875, 58.999, 60.242, 61.1615, 62.3635, 63.112, 63.889]","[38.82, 46.61, 50.34, 51.1, 54.67, 55.89, 57.56, 58.64, 59.94, 61.51, 62.94, 62.97, 63.81, 64.25, 63.81]"
4,15,256,0.002,batchensemble_complex,"[4.0545735614640375, 2.2911485463989023, 2.0660409185351156, 1.903277071763058, 1.6749005451494334, 1.37522825842001, 1.0930683345210797, 0.9453404980654619, 0.7986787946856752, 0.6808980654697029, 0.6020351281883766, 0.5320929488053128, 0.4695573363985334, 0.4061689226298916, 0.3561124676952557]","[2.452758002281189, 2.07844001352787, 2.0827255308628083, 1.7385161340236663, 1.778129169344902, 1.5081742435693741, 0.9763792544603348, 0.8814272493124008, 0.82783994525671, 0.6758945658802986, 0.6641094133257865, 0.707349605858326, 0.6328342899680137, 0.650699683278799, 0.5893056839704514]","[12.9605, 17.541, 21.433, 25.9155, 36.1965, 48.7665, 61.0755, 67.308, 72.417, 76.6265, 79.3465, 81.79, 83.9305, 86.048, 87.7565]","[14.0, 22.52, 20.02, 33.25, 37.8, 48.33, 65.66, 69.24, 71.46, 76.69, 76.86, 76.97, 78.37, 78.18, 80.75]"
