seed,alpha_init,gamma_init,ensemble_size,num_epochs,batch_size,lr,model_type,final_test_accuracy,avg_test_accuracy,final_losses,avg_losses
42,-1,-1,4,15,256,0.0002,batchensemble_complex,70.14,65.88533333333334,0.08474182696746928,0.42338787496001234
42,-1,-0.8,4,15,256,0.0002,batchensemble_complex,68.18,64.50866666666667,0.12471597360409035,0.42140215377950546
42,-1,-0.5,4,15,256,0.0002,batchensemble_complex,70.91,66.06266666666666,0.103893373313607,0.433523116705521
42,-1,-0.2,4,15,256,0.0002,batchensemble_complex,70.05,65.16666666666667,0.1126344781273938,0.43065601977627394
42,-1,0,4,15,256,0.0002,batchensemble_complex,69.04,64.9,0.10862307081341135,0.42947442906775646
42,-1,0.2,4,15,256,0.0002,batchensemble_complex,76.9,71.412,0.14997592990343667,0.627336292805112
42,-1,0.5,4,15,256,0.0002,batchensemble_complex,76.83,70.51,0.17068702640125946,0.7071556807552674
42,-1,0.8,4,15,256,0.0002,batchensemble_complex,76.59,70.90133333333333,0.1342533456579763,0.6063862237623152
42,-1,1,4,15,256,0.0002,batchensemble_complex,68.17,65.23,0.08726824510234352,0.4265532099014642
42,-0.8,-1,4,15,256,0.0002,batchensemble_complex,69.86,65.52000000000001,0.10355025885284555,0.43230180657107614
42,-0.8,-0.8,4,15,256,0.0002,batchensemble_complex,69.8,65.044,0.12211536285372412,0.4310025844013407
42,-0.8,-0.5,4,15,256,0.0002,batchensemble_complex,70.09,64.82066666666667,0.10199256755449639,0.4483882319169486
42,-0.8,-0.2,4,15,256,0.0002,batchensemble_complex,72.21,65.62933333333334,0.11185738560268466,0.43775103020918915
42,-0.8,0,4,15,256,0.0002,batchensemble_complex,71.62,66.58666666666666,0.09361474652185428,0.4139644713641531
42,-0.8,0.2,4,15,256,0.0002,batchensemble_complex,76.55,70.606,0.13123515385146045,0.6260222814850458
42,-0.8,0.5,4,15,256,0.0002,batchensemble_complex,78.44,71.53466666666667,0.1587019400785164,0.6714713295756959
42,-0.8,0.8,4,15,256,0.0002,batchensemble_complex,77.63,72.03,0.12522263684291013,0.6030298507005788
42,-0.8,1,4,15,256,0.0002,batchensemble_complex,69.36,65.55333333333333,0.1130713869494443,0.42303504267149944
42,-0.5,-1,4,15,256,0.0002,batchensemble_complex,70.46,66.03999999999999,0.11405780936154175,0.42826385689443164
42,-0.5,-0.8,4,15,256,0.0002,batchensemble_complex,69.37,65.68466666666667,0.09898984331485568,0.4229160638830187
42,-0.5,-0.5,4,15,256,0.0002,batchensemble_complex,70.83,65.64266666666667,0.127188762592874,0.4250445592014411
42,-0.5,-0.2,4,15,256,0.0002,batchensemble_complex,67.64,65.39333333333333,0.12323273391443856,0.4461171374567563
42,-0.5,0,4,15,256,0.0002,batchensemble_complex,70.24,65.94466666666666,0.11935030712689064,0.42043845133387114
42,-0.5,0.2,4,15,256,0.0002,batchensemble_complex,75.58,71.19333333333334,0.12449981515504877,0.6259368773042954
42,-0.5,0.5,4,15,256,0.0002,batchensemble_complex,76.84,69.89866666666667,0.16455726709444912,0.6853709224510153
42,-0.5,0.8,4,15,256,0.0002,batchensemble_complex,77.02,70.59533333333334,0.14264168187367673,0.6093318057886395
42,-0.5,1,4,15,256,0.0002,batchensemble_complex,70.06,64.09733333333334,0.12520204917812833,0.4407492711417833
42,-0.2,-1,4,15,256,0.0002,batchensemble_complex,70.95,65.18,0.1189612824735897,0.43004913715721693
42,-0.2,-0.8,4,15,256,0.0002,batchensemble_complex,67.96,66.17133333333332,0.11153084324786858,0.4373159077588697
42,-0.2,-0.5,4,15,256,0.0002,batchensemble_complex,68.95,65.39066666666666,0.12085241613415432,0.4401143985585037
42,-0.2,-0.2,4,15,256,0.0002,batchensemble_complex,70.52,65.16466666666666,0.1114816565294655,0.42094082752888906
42,-0.2,0,4,15,256,0.0002,batchensemble_complex,68.75,66.33533333333334,0.11159206341419901,0.4191628308149473
42,-0.2,0.2,4,15,256,0.0002,batchensemble_complex,77.6,70.40666666666668,0.13181606581320568,0.612915879964423
42,-0.2,0.5,4,15,256,0.0002,batchensemble_complex,76.78,70.97,0.16220445892944627,0.6836106995944263
42,-0.2,0.8,4,15,256,0.0002,batchensemble_complex,77.51,71.47066666666666,0.12074696915034129,0.6203293614266883
42,-0.2,1,4,15,256,0.0002,batchensemble_complex,70.45,65.504,0.07799770781884388,0.445212845025318
42,0,-1,4,15,256,0.0002,batchensemble_complex,68.93,66.02666666666667,0.10015085646502521,0.41745527729354037
42,0,-0.8,4,15,256,0.0002,batchensemble_complex,69.85,64.75466666666667,0.10372226044763716,0.4169737942092323
42,0,-0.5,4,15,256,0.0002,batchensemble_complex,68.71,66.04066666666667,0.12142433427578332,0.41723761745494137
42,0,-0.2,4,15,256,0.0002,batchensemble_complex,68.7,65.916,0.08950533266464362,0.423856850150263
42,0,0,4,15,256,0.0002,batchensemble_complex,70.88,66.61866666666667,0.0968248148505785,0.4342704643096243
42,0,0.2,4,15,256,0.0002,batchensemble_complex,77.47,70.85466666666666,0.1511939633257535,0.623648194363024
42,0,0.5,4,15,256,0.0002,batchensemble_complex,76.4,69.64066666666668,0.15147965682708486,0.6926808339068475
42,0,0.8,4,15,256,0.0002,batchensemble_complex,75.18,70.98266666666667,0.12444080644268163,0.6332454975517022
42,0,1,4,15,256,0.0002,batchensemble_complex,70.61,66.24866666666667,0.11241771278864875,0.4242853051621695
42,0.2,-1,4,15,256,0.0002,batchensemble_complex,75.25,70.55866666666665,0.13628250847057422,0.6500593427391279
42,0.2,-0.8,4,15,256,0.0002,batchensemble_complex,76.26,70.08200000000001,0.1316049946281983,0.6747125744591561
42,0.2,-0.5,4,15,256,0.0002,batchensemble_complex,76.01,69.62933333333334,0.15497908136826388,0.6708590593797211
42,0.2,-0.2,4,15,256,0.0002,batchensemble_complex,75.89,69.29533333333333,0.16394533783349455,0.6865899660960347
42,0.2,0,4,15,256,0.0002,batchensemble_complex,75.52,69.71333333333334,0.1313772801765982,0.6539095265372675
42,0.2,0.2,4,15,256,0.0002,batchensemble_complex,77.14,69.348,0.14887183266026632,0.6885010927180651
42,0.2,0.5,4,15,256,0.0002,batchensemble_complex,75.77,70.44933333333333,0.15319903020043762,0.7137573845811238
42,0.2,0.8,4,15,256,0.0002,batchensemble_complex,77.32,70.30666666666666,0.15175424147473307,0.6924031247695287
42,0.2,1,4,15,256,0.0002,batchensemble_complex,77.76,70.548,0.1382005296039338,0.6528429158918915
42,0.5,-1,4,15,256,0.0002,batchensemble_complex,76.6,69.82533333333332,0.16722804015236242,0.7006106827864234
42,0.5,-0.8,4,15,256,0.0002,batchensemble_complex,77.23,70.52733333333335,0.16924292818472095,0.7044923010529304
42,0.5,-0.5,4,15,256,0.0002,batchensemble_complex,76.92,70.11066666666667,0.16836680909048538,0.7136795455653246
42,0.5,-0.2,4,15,256,0.0002,batchensemble_complex,74.8,70.17066666666666,0.16121822063411986,0.7015164123100488
42,0.5,0,4,15,256,0.0002,batchensemble_complex,75.68,70.10333333333332,0.18295713924631782,0.7084167893317078
42,0.5,0.2,4,15,256,0.0002,batchensemble_complex,76.8,70.04666666666667,0.1547452484314539,0.6998792017677001
42,0.5,0.5,4,15,256,0.0002,batchensemble_complex,77.8,70.238,0.17365631210256596,0.7039675077030652
42,0.5,0.8,4,15,256,0.0002,batchensemble_complex,77.61,69.77133333333333,0.17729300435404388,0.7350771481031869
42,0.5,1,4,15,256,0.0002,batchensemble_complex,77.01,69.97266666666665,0.16453628219207939,0.7044666658326679
42,0.8,-1,4,15,256,0.0002,batchensemble_complex,75.24,69.33933333333333,0.1423645440337001,0.6797553932737735
42,0.8,-0.8,4,15,256,0.0002,batchensemble_complex,76.34,70.13933333333333,0.12458740608120451,0.6632422706657121
42,0.8,-0.5,4,15,256,0.0002,batchensemble_complex,78.17,70.346,0.14565808846786313,0.6655544001710455
42,0.8,-0.2,4,15,256,0.0002,batchensemble_complex,76.78,70.21666666666667,0.1549952347211692,0.6745576456645314
42,0.8,0,4,15,256,0.0002,batchensemble_complex,76.42,71.88266666666667,0.12312979669291146,0.6285067921212945
42,0.8,0.2,4,15,256,0.0002,batchensemble_complex,76.25,69.61733333333333,0.15224172634889885,0.6976928228423709
42,0.8,0.5,4,15,256,0.0002,batchensemble_complex,78.08,69.94733333333333,0.1718928852707756,0.7158237209049415
